dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.999862790107727,0.9997255802154541,0.9999809265136719,0.9997255802154541,1.0,0.9999999451037331,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999497532844543,0.9998995065689087,0.9999923706054688,0.9998995065689087,1.0,0.9999999970965002,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8178000450134277,0.6917612552642822,0.9753379821777344,0.7962353229522705,0.9887176752090454,0.892476512391499,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7785102725028992,0.6373448967933655,0.9691123962402344,0.7148957252502441,0.9900016188621521,0.8524486824078473,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4559275507926941,0.2952759861946106,0.9479866027832031,0.3135221302509308,0.9953837990760803,0.9059582865532769,504.0417000418529,1.9839628346562703
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.41809871792793274,0.2643013894557953,0.9412269592285156,0.2780708372592926,0.9957190752029419,0.8822163003202336,504.0417000418529,1.9839628346562703
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.2190934717655182,0.12302356213331223,0.9344100952148438,0.13236746191978455,0.9943260550498962,0.8001242938775316,1172.2756499657407,0.8530416886414254
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.19521676003932953,0.10816632211208344,0.9273452758789062,0.11605124175548553,0.9940100312232971,0.7718143477929911,1172.2756499657407,0.8530416886414254
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9997645020484924,0.9995291233062744,0.9999618530273438,0.9996703267097473,0.9999875426292419,0.9999999921806013,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998044967651367,0.999609112739563,0.999969482421875,0.9997556805610657,0.9999876022338867,0.9999999769498576,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7537863850593567,0.6048612594604492,0.9649620056152344,0.6621456146240234,0.9916524887084961,0.8268990499262617,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7393139004707336,0.5864377617835999,0.9632415771484375,0.6677091717720032,0.9882654547691345,0.827987311389986,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.37462592124938965,0.2304859757423401,0.9354286193847656,0.23876801133155823,0.9968328475952148,0.8604464719415132,464.1445999732241,2.154500989686595
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.36062684655189514,0.21997849643230438,0.9363441467285156,0.22996482253074646,0.9961560964584351,0.8608317604037504,464.1445999732241,2.154500989686595
